Cast Vote Record,Precinct,Ballot Style,"AUTHORIZING THE TOWN OF SCITUATE TO ISSUE GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $1,700,000 TO FINANCE A NEW POLICE STATION"
2,Precinct 3001,Precinct 3001,Reject
3,Precinct 3001,Precinct 3001,Approve
4,Precinct 3001,Precinct 3001,Approve
5,Precinct 3002,Precinct 3002,Approve
6,Precinct 3003,Precinct 3003,Approve
7,Precinct 3002,Precinct 3002,Approve
8,Precinct 3002,Precinct 3002,Approve
9,Precinct 3002,Precinct 3002,Approve
10,Precinct 3001,Precinct 3001,Reject
11,Precinct 3002,Precinct 3002,Reject
12,Precinct 3001,Precinct 3001,Approve
13,Precinct 3002,Precinct 3002,Approve
14,Precinct 3001,Precinct 3001,Approve
15,Precinct 3002,Precinct 3002,Approve
16,Precinct 3001,Precinct 3001,Approve
17,Precinct 3003,Precinct 3003,Approve
18,Precinct 3002,Precinct 3002,Approve
19,Precinct 3001,Precinct 3001,Approve
20,Precinct 3003,Precinct 3003,Reject
21,Precinct 3001,Precinct 3001,Approve
22,Precinct 3001,Precinct 3001,Approve
23,Precinct 3002,Precinct 3002,Reject
24,Precinct 3002,Precinct 3002,Approve
25,Precinct 3001,Precinct 3001,Approve
26,Precinct 3003,Precinct 3003,Approve
27,Precinct 3002,Precinct 3002,Approve
28,Precinct 3002,Precinct 3002,Approve
29,Precinct 3002,Precinct 3002,Approve
30,Precinct 3001,Precinct 3001,Reject
31,Precinct 3001,Precinct 3001,Reject
32,Precinct 3002,Precinct 3002,Approve
33,Precinct 3002,Precinct 3002,Approve
34,Precinct 3001,Precinct 3001,Approve
35,Precinct 3001,Precinct 3001,Approve
36,Precinct 3001,Precinct 3001,Reject
37,Precinct 3001,Precinct 3001,Approve
38,Precinct 3001,Precinct 3001,Approve
39,Precinct 3002,Precinct 3002,Approve
40,Precinct 3003,Precinct 3003,Approve
41,Precinct 3002,Precinct 3002,Approve
42,Precinct 3002,Precinct 3002,Approve
43,Precinct 3003,Precinct 3003,Approve
44,Precinct 3002,Precinct 3002,Approve
45,Precinct 3002,Precinct 3002,Approve
46,Precinct 3002,Precinct 3002,Approve
47,Precinct 3003,Precinct 3003,Approve
48,Precinct 3001,Precinct 3001,Approve
49,Precinct 3002,Precinct 3002,Approve
50,Precinct 3002,Precinct 3002,Approve
51,Precinct 3001,Precinct 3001,Approve
52,Precinct 3001,Precinct 3001,Approve
53,Precinct 3003,Precinct 3003,Reject
54,Precinct 3003,Precinct 3003,Approve
55,Precinct 3002,Precinct 3002,Approve
56,Precinct 3001,Precinct 3001,Reject
57,Precinct 3003,Precinct 3003,Approve
58,Precinct 3003,Precinct 3003,Approve
59,Precinct 3002,Precinct 3002,Approve
60,Precinct 3002,Precinct 3002,Approve
61,Precinct 3003,Precinct 3003,Approve
62,Precinct 3002,Precinct 3002,Approve
63,Precinct 3001,Precinct 3001,Approve
64,Precinct 3002,Precinct 3002,Reject
65,Precinct 3001,Precinct 3001,Approve
66,Precinct 3001,Precinct 3001,Approve
67,Precinct 3001,Precinct 3001,Approve
68,Precinct 3002,Precinct 3002,Approve
69,Precinct 3001,Precinct 3001,Approve
70,Precinct 3002,Precinct 3002,Approve
71,Precinct 3002,Precinct 3002,Approve
72,Precinct 3001,Precinct 3001,Approve
73,Precinct 3001,Precinct 3001,Approve
74,Precinct 3001,Precinct 3001,Approve
75,Precinct 3002,Precinct 3002,Approve
76,Precinct 3003,Precinct 3003,Reject
77,Precinct 3001,Precinct 3001,Approve
78,Precinct 3001,Precinct 3001,Approve
79,Precinct 3003,Precinct 3003,Approve
80,Precinct 3002,Precinct 3002,Approve
81,Precinct 3001,Precinct 3001,Approve
82,Precinct 3001,Precinct 3001,Approve
83,Precinct 3001,Precinct 3001,Reject
84,Precinct 3001,Precinct 3001,Approve
85,Precinct 3003,Precinct 3003,Approve
86,Precinct 3001,Precinct 3001,Reject
87,Precinct 3001,Precinct 3001,Approve
88,Precinct 3002,Precinct 3002,Approve
89,Precinct 3003,Precinct 3003,Approve
90,Precinct 3003,Precinct 3003,Approve
91,Precinct 3002,Precinct 3002,Approve
92,Precinct 3003,Precinct 3003,Reject
93,Precinct 3002,Precinct 3002,Approve
94,Precinct 3001,Precinct 3001,Approve
95,Precinct 3003,Precinct 3003,Reject
96,Precinct 3001,Precinct 3001,Approve
97,Precinct 3003,Precinct 3003,Approve
98,Precinct 3002,Precinct 3002,Approve
99,Precinct 3001,Precinct 3001,Approve
100,Precinct 3002,Precinct 3002,Reject
101,Precinct 3003,Precinct 3003,Approve
102,Precinct 3003,Precinct 3003,Approve
103,Precinct 3002,Precinct 3002,Approve
104,Precinct 3003,Precinct 3003,Approve
105,Precinct 3001,Precinct 3001,Reject
106,Precinct 3002,Precinct 3002,Approve
107,Precinct 3003,Precinct 3003,Approve
108,Precinct 3002,Precinct 3002,Approve
109,Precinct 3002,Precinct 3002,Approve
110,Precinct 3003,Precinct 3003,Approve
111,Precinct 3002,Precinct 3002,Approve
112,Precinct 3003,Precinct 3003,Reject
113,Precinct 3003,Precinct 3003,Approve
114,Precinct 3003,Precinct 3003,Approve
115,Precinct 3001,Precinct 3001,Reject
116,Precinct 3001,Precinct 3001,Approve
117,Precinct 3001,Precinct 3001,Approve
118,Precinct 3001,Precinct 3001,Reject
119,Precinct 3001,Precinct 3001,Approve
120,Precinct 3003,Precinct 3003,Approve
121,Precinct 3003,Precinct 3003,Approve
122,Precinct 3002,Precinct 3002,Approve
123,Precinct 3002,Precinct 3002,Approve
124,Precinct 3002,Precinct 3002,Approve
125,Precinct 3001,Precinct 3001,Approve
126,Precinct 3002,Precinct 3002,Approve
127,Precinct 3002,Precinct 3002,Approve
128,Precinct 3003,Precinct 3003,Approve
129,Precinct 3002,Precinct 3002,Approve
130,Precinct 3001,Precinct 3001,Approve
131,Precinct 3003,Precinct 3003,Reject
132,Precinct 3001,Precinct 3001,Approve
133,Precinct 3002,Precinct 3002,Approve
134,Precinct 3001,Precinct 3001,Reject
135,Precinct 3001,Precinct 3001,Approve
136,Precinct 3001,Precinct 3001,Approve
137,Precinct 3002,Precinct 3002,Reject
138,Precinct 3001,Precinct 3001,Approve
139,Precinct 3003,Precinct 3003,Approve
140,Precinct 3001,Precinct 3001,Approve
141,Precinct 3001,Precinct 3001,Approve
142,Precinct 3001,Precinct 3001,Approve
143,Precinct 3003,Precinct 3003,Approve
144,Precinct 3001,Precinct 3001,Approve
145,Precinct 3001,Precinct 3001,Approve
146,Precinct 3003,Precinct 3003,Reject
147,Precinct 3001,Precinct 3001,Approve
148,Precinct 3002,Precinct 3002,Approve
149,Precinct 3002,Precinct 3002,Approve
150,Precinct 3001,Precinct 3001,Approve
151,Precinct 3003,Precinct 3003,Approve
152,Precinct 3001,Precinct 3001,Approve
153,Precinct 3001,Precinct 3001,Approve
154,Precinct 3003,Precinct 3003,Approve
155,Precinct 3002,Precinct 3002,Approve
156,Precinct 3001,Precinct 3001,Approve
157,Precinct 3002,Precinct 3002,Approve
158,Precinct 3003,Precinct 3003,Approve
159,Precinct 3002,Precinct 3002,Approve
160,Precinct 3002,Precinct 3002,Approve
161,Precinct 3001,Precinct 3001,Approve
162,Precinct 3001,Precinct 3001,Approve
163,Precinct 3002,Precinct 3002,Approve
164,Precinct 3003,Precinct 3003,Reject
165,Precinct 3001,Precinct 3001,Reject
166,Precinct 3002,Precinct 3002,Approve
167,Precinct 3003,Precinct 3003,Approve
168,Precinct 3001,Precinct 3001,Approve
169,Precinct 3001,Precinct 3001,Approve
170,Precinct 3001,Precinct 3001,Approve
171,Precinct 3002,Precinct 3002,Approve
172,Precinct 3003,Precinct 3003,Approve
173,Precinct 3001,Precinct 3001,Reject
174,Precinct 3003,Precinct 3003,Approve
175,Precinct 3003,Precinct 3003,Approve
176,Precinct 3001,Precinct 3001,Approve
177,Precinct 3003,Precinct 3003,Approve
178,Precinct 3002,Precinct 3002,Approve
179,Precinct 3002,Precinct 3002,Approve
180,Precinct 3001,Precinct 3001,Reject
181,Precinct 3002,Precinct 3002,Approve
182,Precinct 3003,Precinct 3003,Reject
183,Precinct 3003,Precinct 3003,Approve
184,Precinct 3002,Precinct 3002,Reject
185,Precinct 3001,Precinct 3001,Approve
186,Precinct 3002,Precinct 3002,Reject
187,Precinct 3002,Precinct 3002,Approve
188,Precinct 3002,Precinct 3002,Approve
189,Precinct 3001,Precinct 3001,Approve
190,Precinct 3003,Precinct 3003,Approve
191,Precinct 3002,Precinct 3002,Approve
192,Precinct 3002,Precinct 3002,Approve
193,Precinct 3002,Precinct 3002,Approve
194,Precinct 3003,Precinct 3003,Approve
195,Precinct 3002,Precinct 3002,Approve
196,Precinct 3003,Precinct 3003,Reject
197,Precinct 3001,Precinct 3001,Reject
198,Precinct 3001,Precinct 3001,Approve
199,Precinct 3003,Precinct 3003,Approve
200,Precinct 3001,Precinct 3001,Approve
201,Precinct 3001,Precinct 3001,Approve
202,Precinct 3003,Precinct 3003,Approve
203,Precinct 3002,Precinct 3002,Approve
204,Precinct 3002,Precinct 3002,Reject
205,Precinct 3003,Precinct 3003,Approve
206,Precinct 3001,Precinct 3001,Approve
207,Precinct 3003,Precinct 3003,Reject
208,Precinct 3002,Precinct 3002,Approve
209,Precinct 3001,Precinct 3001,Approve
210,Precinct 3001,Precinct 3001,Approve
211,Precinct 3002,Precinct 3002,Approve
212,Precinct 3001,Precinct 3001,Reject
213,Precinct 3003,Precinct 3003,Approve
214,Precinct 3003,Precinct 3003,Approve
215,Precinct 3002,Precinct 3002,Approve
216,Precinct 3003,Precinct 3003,Reject
217,Precinct 3002,Precinct 3002,Approve
218,Precinct 3001,Precinct 3001,Approve
219,Precinct 3003,Precinct 3003,Approve
220,Precinct 3001,Precinct 3001,Approve
221,Precinct 3001,Precinct 3001,Approve
222,Precinct 3003,Precinct 3003,Reject
223,Precinct 3001,Precinct 3001,Approve
224,Precinct 3002,Precinct 3002,Approve
225,Precinct 3003,Precinct 3003,Approve
226,Precinct 3002,Precinct 3002,Reject
227,Precinct 3002,Precinct 3002,Approve
228,Precinct 3001,Precinct 3001,Reject
229,Precinct 3003,Precinct 3003,Approve
230,Precinct 3002,Precinct 3002,Approve
231,Precinct 3001,Precinct 3001,Approve
232,Precinct 3001,Precinct 3001,Approve
233,Precinct 3002,Precinct 3002,Approve
234,Precinct 3002,Precinct 3002,Reject
235,Precinct 3001,Precinct 3001,Approve
236,Precinct 3003,Precinct 3003,Approve
237,Precinct 3001,Precinct 3001,Reject
238,Precinct 3001,Precinct 3001,Approve
239,Precinct 3001,Precinct 3001,Reject
240,Precinct 3001,Precinct 3001,Approve
241,Precinct 3002,Precinct 3002,Approve
242,Precinct 3002,Precinct 3002,Approve
243,Precinct 3003,Precinct 3003,Approve
244,Precinct 3003,Precinct 3003,Approve
245,Precinct 3002,Precinct 3002,Approve
246,Precinct 3003,Precinct 3003,Approve
247,Precinct 3003,Precinct 3003,Approve
248,Precinct 3001,Precinct 3001,Approve
249,Precinct 3001,Precinct 3001,Approve
250,Precinct 3003,Precinct 3003,Reject
251,Precinct 3001,Precinct 3001,Approve
252,Precinct 3001,Precinct 3001,Approve
253,Precinct 3002,Precinct 3002,Approve
254,Precinct 3002,Precinct 3002,Approve
255,Precinct 3003,Precinct 3003,Approve
256,Precinct 3002,Precinct 3002,Approve
257,Precinct 3002,Precinct 3002,Approve
258,Precinct 3002,Precinct 3002,Reject
259,Precinct 3002,Precinct 3002,Approve
260,Precinct 3003,Precinct 3003,Approve
261,Precinct 3003,Precinct 3003,Approve
262,Precinct 3002,Precinct 3002,Approve
263,Precinct 3002,Precinct 3002,Approve
264,Precinct 3003,Precinct 3003,Approve
265,Precinct 3001,Precinct 3001,Approve
266,Precinct 3001,Precinct 3001,Approve
267,Precinct 3001,Precinct 3001,Approve
268,Precinct 3001,Precinct 3001,Approve
269,Precinct 3001,Precinct 3001,Approve
270,Precinct 3002,Precinct 3002,Approve
271,Precinct 3001,Precinct 3001,Approve
272,Precinct 3001,Precinct 3001,Approve
273,Precinct 3002,Precinct 3002,Reject
274,Precinct 3002,Precinct 3002,Approve
275,Precinct 3003,Precinct 3003,Approve
276,Precinct 3001,Precinct 3001,Approve
277,Precinct 3001,Precinct 3001,Approve
278,Precinct 3001,Precinct 3001,Approve
279,Precinct 3003,Precinct 3003,Approve
280,Precinct 3001,Precinct 3001,Approve
281,Precinct 3002,Precinct 3002,Approve
282,Precinct 3002,Precinct 3002,Approve
283,Precinct 3001,Precinct 3001,Approve
284,Precinct 3001,Precinct 3001,Approve
285,Precinct 3001,Precinct 3001,Approve
286,Precinct 3001,Precinct 3001,Approve
287,Precinct 3001,Precinct 3001,Reject
288,Precinct 3002,Precinct 3002,Approve
289,Precinct 3001,Precinct 3001,Approve
290,Precinct 3001,Precinct 3001,Approve
291,Precinct 3001,Precinct 3001,Approve
292,Precinct 3003,Precinct 3003,Approve
293,Precinct 3001,Precinct 3001,Reject
294,Precinct 3003,Precinct 3003,Approve
295,Precinct 3003,Precinct 3003,Approve
296,Precinct 3001,Precinct 3001,Approve
297,Precinct 3002,Precinct 3002,Approve
298,Precinct 3002,Precinct 3002,Approve
299,Precinct 3001,Precinct 3001,Approve
300,Precinct 3003,Precinct 3003,Approve
301,Precinct 3002,Precinct 3002,Reject
302,Precinct 3003,Precinct 3003,Approve
303,Precinct 3001,Precinct 3001,Approve
304,Precinct 3001,Precinct 3001,Approve
305,Precinct 3002,Precinct 3002,Approve
306,Precinct 3002,Precinct 3002,Reject
307,Precinct 3002,Precinct 3002,Approve
308,Precinct 3001,Precinct 3001,Approve
309,Precinct 3003,Precinct 3003,Approve
310,Precinct 3002,Precinct 3002,Approve
311,Precinct 3001,Precinct 3001,Reject
312,Precinct 3003,Precinct 3003,Approve
313,Precinct 3001,Precinct 3001,Approve
314,Precinct 3002,Precinct 3002,Approve
315,Precinct 3001,Precinct 3001,Approve
316,Precinct 3002,Precinct 3002,Approve
317,Precinct 3002,Precinct 3002,Reject
318,Precinct 3001,Precinct 3001,Approve
319,Precinct 3001,Precinct 3001,Approve
320,Precinct 3002,Precinct 3002,Approve
321,Precinct 3002,Precinct 3002,Approve
322,Precinct 3002,Precinct 3002,Approve
323,Precinct 3002,Precinct 3002,Approve
324,Precinct 3003,Precinct 3003,Approve
325,Precinct 3002,Precinct 3002,Approve
326,Precinct 3001,Precinct 3001,Approve
327,Precinct 3003,Precinct 3003,Approve
328,Precinct 3002,Precinct 3002,Approve
329,Precinct 3002,Precinct 3002,Approve
330,Precinct 3001,Precinct 3001,Approve
331,Precinct 3002,Precinct 3002,Approve
332,Precinct 3001,Precinct 3001,Approve
333,Precinct 3001,Precinct 3001,Reject
334,Precinct 3002,Precinct 3002,Approve
335,Precinct 3001,Precinct 3001,Approve
336,Precinct 3001,Precinct 3001,Approve
337,Precinct 3002,Precinct 3002,Approve
338,Precinct 3003,Precinct 3003,Approve
339,Precinct 3001,Precinct 3001,Approve
340,Precinct 3002,Precinct 3002,Approve
341,Precinct 3003,Precinct 3003,Approve
342,Precinct 3002,Precinct 3002,Approve
343,Precinct 3003,Precinct 3003,Approve
344,Precinct 3001,Precinct 3001,Reject
345,Precinct 3002,Precinct 3002,Approve
346,Precinct 3003,Precinct 3003,Reject
347,Precinct 3003,Precinct 3003,Reject
348,Precinct 3002,Precinct 3002,Approve
349,Precinct 3002,Precinct 3002,Approve
350,Precinct 3003,Precinct 3003,Approve
351,Precinct 3002,Precinct 3002,Approve
352,Precinct 3001,Precinct 3001,Approve
353,Precinct 3002,Precinct 3002,Approve
354,Precinct 3003,Precinct 3003,Approve
355,Precinct 3001,Precinct 3001,Approve
356,Precinct 3002,Precinct 3002,Approve
357,Precinct 3001,Precinct 3001,Approve
358,Precinct 3003,Precinct 3003,Approve
359,Precinct 3001,Precinct 3001,Approve
360,Precinct 3002,Precinct 3002,Approve
361,Precinct 3001,Precinct 3001,Approve
362,Precinct 3002,Precinct 3002,Approve
363,Precinct 3003,Precinct 3003,Approve
364,Precinct 3001,Precinct 3001,Approve
365,Precinct 3001,Precinct 3001,Reject
366,Precinct 3001,Precinct 3001,Approve
367,Precinct 3001,Precinct 3001,Approve
368,Precinct 3002,Precinct 3002,Approve
369,Precinct 3001,Precinct 3001,Reject
370,Precinct 3001,Precinct 3001,Reject
371,Precinct 3003,Precinct 3003,Approve
372,Precinct 3003,Precinct 3003,Approve
373,Precinct 3003,Precinct 3003,Approve
374,Precinct 3002,Precinct 3002,Approve
375,Precinct 3003,Precinct 3003,Approve
376,Precinct 3001,Precinct 3001,Approve
377,Precinct 3002,Precinct 3002,Approve
378,Precinct 3002,Precinct 3002,Reject
379,Precinct 3001,Precinct 3001,Approve
380,Precinct 3003,Precinct 3003,Approve
381,Precinct 3001,Precinct 3001,Approve
382,Precinct 3002,Precinct 3002,Approve
383,Precinct 3003,Precinct 3003,Approve
384,Precinct 3002,Precinct 3002,Approve
385,Precinct 3003,Precinct 3003,Approve
386,Precinct 3001,Precinct 3001,Approve
387,Precinct 3003,Precinct 3003,Approve
388,Precinct 3003,Precinct 3003,Approve
389,Precinct 3001,Precinct 3001,Approve
390,Precinct 3003,Precinct 3003,Approve
391,Precinct 3001,Precinct 3001,Reject
392,Precinct 3001,Precinct 3001,Approve
393,Precinct 3002,Precinct 3002,Approve
394,Precinct 3002,Precinct 3002,Approve
395,Precinct 3001,Precinct 3001,Approve
396,Precinct 3001,Precinct 3001,Approve
397,Precinct 3001,Precinct 3001,Approve
398,Precinct 3003,Precinct 3003,Approve
399,Precinct 3003,Precinct 3003,Approve
400,Precinct 3003,Precinct 3003,Approve
401,Precinct 3003,Precinct 3003,Reject
402,Precinct 3003,Precinct 3003,Approve
403,Precinct 3003,Precinct 3003,Reject
404,Precinct 3003,Precinct 3003,Approve
405,Precinct 3003,Precinct 3003,Reject
406,Precinct 3003,Precinct 3003,Approve
407,Precinct 3003,Precinct 3003,Reject
408,Precinct 3003,Precinct 3003,Approve
409,Precinct 3003,Precinct 3003,Reject
410,Precinct 3003,Precinct 3003,Approve
411,Precinct 3003,Precinct 3003,Approve
412,Precinct 3003,Precinct 3003,Approve
413,Precinct 3003,Precinct 3003,Approve
414,Precinct 3003,Precinct 3003,Reject
415,Precinct 3003,Precinct 3003,Approve
416,Precinct 3003,Precinct 3003,Approve
417,Precinct 3003,Precinct 3003,Reject
418,Precinct 3003,Precinct 3003,Reject
419,Precinct 3003,Precinct 3003,Reject
420,Precinct 3003,Precinct 3003,Approve
421,Precinct 3003,Precinct 3003,Approve
422,Precinct 3003,Precinct 3003,Approve
423,Precinct 3003,Precinct 3003,Approve
424,Precinct 3003,Precinct 3003,Reject
425,Precinct 3003,Precinct 3003,Approve
426,Precinct 3003,Precinct 3003,Approve
427,Precinct 3003,Precinct 3003,Reject
428,Precinct 3003,Precinct 3003,Approve
429,Precinct 3003,Precinct 3003,Approve
430,Precinct 3003,Precinct 3003,Reject
431,Precinct 3003,Precinct 3003,Approve
432,Precinct 3003,Precinct 3003,Reject
433,Precinct 3003,Precinct 3003,Reject
434,Precinct 3003,Precinct 3003,Approve
435,Precinct 3003,Precinct 3003,Reject
436,Precinct 3003,Precinct 3003,Reject
437,Precinct 3003,Precinct 3003,Approve
438,Precinct 3003,Precinct 3003,Approve
439,Precinct 3003,Precinct 3003,Approve
440,Precinct 3003,Precinct 3003,Reject
441,Precinct 3003,Precinct 3003,Reject
442,Precinct 3003,Precinct 3003,Approve
443,Precinct 3003,Precinct 3003,Approve
444,Precinct 3003,Precinct 3003,Reject
445,Precinct 3003,Precinct 3003,Reject
446,Precinct 3003,Precinct 3003,Reject
447,Precinct 3003,Precinct 3003,Reject
448,Precinct 3003,Precinct 3003,Reject
449,Precinct 3003,Precinct 3003,Reject
450,Precinct 3003,Precinct 3003,Approve
451,Precinct 3003,Precinct 3003,Reject
452,Precinct 3003,Precinct 3003,Approve
453,Precinct 3003,Precinct 3003,Approve
454,Precinct 3003,Precinct 3003,Approve
455,Precinct 3003,Precinct 3003,Approve
456,Precinct 3003,Precinct 3003,Reject
457,Precinct 3003,Precinct 3003,Reject
458,Precinct 3003,Precinct 3003,Approve
459,Precinct 3003,Precinct 3003,Reject
460,Precinct 3003,Precinct 3003,Approve
461,Precinct 3003,Precinct 3003,Reject
462,Precinct 3003,Precinct 3003,Approve
463,Precinct 3003,Precinct 3003,Reject
464,Precinct 3003,Precinct 3003,Approve
465,Precinct 3003,Precinct 3003,Approve
466,Precinct 3003,Precinct 3003,Approve
467,Precinct 3003,Precinct 3003,Reject
468,Precinct 3003,Precinct 3003,Approve
469,Precinct 3003,Precinct 3003,Reject
470,Precinct 3003,Precinct 3003,Approve
471,Precinct 3003,Precinct 3003,Approve
472,Precinct 3003,Precinct 3003,Approve
473,Precinct 3003,Precinct 3003,Approve
474,Precinct 3003,Precinct 3003,Approve
475,Precinct 3003,Precinct 3003,Approve
476,Precinct 3003,Precinct 3003,Approve
477,Precinct 3003,Precinct 3003,Approve
478,Precinct 3003,Precinct 3003,Approve
479,Precinct 3003,Precinct 3003,Approve
480,Precinct 3003,Precinct 3003,Approve
481,Precinct 3003,Precinct 3003,Reject
482,Precinct 3003,Precinct 3003,Approve
483,Precinct 3003,Precinct 3003,Approve
484,Precinct 3003,Precinct 3003,Reject
485,Precinct 3003,Precinct 3003,Reject
486,Precinct 3003,Precinct 3003,Approve
487,Precinct 3003,Precinct 3003,Reject
488,Precinct 3003,Precinct 3003,Approve
489,Precinct 3003,Precinct 3003,Approve
490,Precinct 3003,Precinct 3003,Reject
491,Precinct 3003,Precinct 3003,Reject
492,Precinct 3003,Precinct 3003,Reject
493,Precinct 3003,Precinct 3003,Reject
494,Precinct 3003,Precinct 3003,Reject
495,Precinct 3003,Precinct 3003,Reject
496,Precinct 3003,Precinct 3003,Reject
497,Precinct 3003,Precinct 3003,Reject
498,Precinct 3003,Precinct 3003,Reject
499,Precinct 3003,Precinct 3003,Approve
500,Precinct 3003,Precinct 3003,Approve
501,Precinct 3003,Precinct 3003,Reject
502,Precinct 3003,Precinct 3003,Reject
503,Precinct 3003,Precinct 3003,Approve
504,Precinct 3003,Precinct 3003,Reject
505,Precinct 3003,Precinct 3003,Approve
506,Precinct 3003,Precinct 3003,Approve
507,Precinct 3003,Precinct 3003,Reject
508,Precinct 3003,Precinct 3003,Approve
509,Precinct 3003,Precinct 3003,Reject
510,Precinct 3003,Precinct 3003,Approve
511,Precinct 3003,Precinct 3003,Approve
512,Precinct 3003,Precinct 3003,Approve
513,Precinct 3003,Precinct 3003,Reject
514,Precinct 3003,Precinct 3003,Approve
515,Precinct 3003,Precinct 3003,Approve
516,Precinct 3003,Precinct 3003,Approve
517,Precinct 3003,Precinct 3003,Reject
518,Precinct 3003,Precinct 3003,Reject
519,Precinct 3003,Precinct 3003,Reject
520,Precinct 3003,Precinct 3003,Reject
521,Precinct 3003,Precinct 3003,Approve
522,Precinct 3003,Precinct 3003,Approve
523,Precinct 3003,Precinct 3003,Reject
524,Precinct 3003,Precinct 3003,Approve
525,Precinct 3003,Precinct 3003,Approve
526,Precinct 3003,Precinct 3003,Reject
527,Precinct 3003,Precinct 3003,Reject
528,Precinct 3003,Precinct 3003,Approve
529,Precinct 3003,Precinct 3003,Approve
530,Precinct 3003,Precinct 3003,Approve
531,Precinct 3003,Precinct 3003,Reject
532,Precinct 3003,Precinct 3003,Reject
533,Precinct 3003,Precinct 3003,Approve
534,Precinct 3003,Precinct 3003,Reject
535,Precinct 3003,Precinct 3003,Approve
536,Precinct 3003,Precinct 3003,Reject
537,Precinct 3003,Precinct 3003,Approve
538,Precinct 3003,Precinct 3003,Approve
539,Precinct 3003,Precinct 3003,Approve
540,Precinct 3003,Precinct 3003,Approve
541,Precinct 3003,Precinct 3003,Approve
542,Precinct 3003,Precinct 3003,Approve
543,Precinct 3003,Precinct 3003,Reject
544,Precinct 3003,Precinct 3003,Approve
545,Precinct 3003,Precinct 3003,Approve
546,Precinct 3003,Precinct 3003,Reject
547,Precinct 3003,Precinct 3003,Approve
548,Precinct 3003,Precinct 3003,Reject
549,Precinct 3003,Precinct 3003,Approve
550,Precinct 3003,Precinct 3003,Approve
551,Precinct 3003,Precinct 3003,Approve
