Cast Vote Record,Precinct,Ballot Style,"AUTHORIZING THE TOWN OF SCITUATE TO ISSUE GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $1,700,000 TO FINANCE A NEW POLICE STATION"
1645,Precinct 3001,Precinct 3001,Reject
1646,Precinct 3001,Precinct 3001,Reject
1647,Precinct 3001,Precinct 3001,Reject
1648,Precinct 3001,Precinct 3001,Reject
1649,Precinct 3001,Precinct 3001,Approve
1650,Precinct 3001,Precinct 3001,Approve
1651,Precinct 3001,Precinct 3001,Approve
1652,Precinct 3001,Precinct 3001,Approve
1653,Precinct 3001,Precinct 3001,Reject
1654,Precinct 3001,Precinct 3001,Approve
1655,Precinct 3001,Precinct 3001,Reject
1656,Precinct 3001,Precinct 3001,Reject
1657,Precinct 3001,Precinct 3001,Approve
1658,Precinct 3001,Precinct 3001,Reject
1659,Precinct 3001,Precinct 3001,Approve
1660,Precinct 3001,Precinct 3001,Approve
1661,Precinct 3001,Precinct 3001,Reject
1662,Precinct 3001,Precinct 3001,Reject
1663,Precinct 3001,Precinct 3001,Reject
1664,Precinct 3001,Precinct 3001,Reject
1665,Precinct 3001,Precinct 3001,Approve
1666,Precinct 3001,Precinct 3001,Approve
1667,Precinct 3001,Precinct 3001,Reject
1668,Precinct 3001,Precinct 3001,Reject
1669,Precinct 3001,Precinct 3001,Approve
1670,Precinct 3001,Precinct 3001,Reject
1671,Precinct 3001,Precinct 3001,Reject
1672,Precinct 3001,Precinct 3001,Reject
1673,Precinct 3001,Precinct 3001,Reject
1674,Precinct 3001,Precinct 3001,Reject
1675,Precinct 3001,Precinct 3001,Reject
1676,Precinct 3001,Precinct 3001,Approve
1677,Precinct 3001,Precinct 3001,Reject
1678,Precinct 3001,Precinct 3001,Approve
1679,Precinct 3001,Precinct 3001,Reject
1680,Precinct 3001,Precinct 3001,Approve
1681,Precinct 3001,Precinct 3001,Approve
1682,Precinct 3001,Precinct 3001,Approve
1683,Precinct 3001,Precinct 3001,Approve
1684,Precinct 3001,Precinct 3001,Approve
1685,Precinct 3001,Precinct 3001,Reject
1686,Precinct 3001,Precinct 3001,Reject
1687,Precinct 3001,Precinct 3001,Approve
1688,Precinct 3001,Precinct 3001,Reject
1689,Precinct 3001,Precinct 3001,Reject
1690,Precinct 3001,Precinct 3001,Reject
1691,Precinct 3001,Precinct 3001,Reject
1692,Precinct 3001,Precinct 3001,Reject
1693,Precinct 3001,Precinct 3001,Approve
1694,Precinct 3001,Precinct 3001,Reject
1695,Precinct 3001,Precinct 3001,Reject
1696,Precinct 3001,Precinct 3001,Approve
1697,Precinct 3001,Precinct 3001,Reject
1698,Precinct 3001,Precinct 3001,Approve
1699,Precinct 3001,Precinct 3001,Reject
1700,Precinct 3001,Precinct 3001,Approve
1701,Precinct 3001,Precinct 3001,Reject
1702,Precinct 3001,Precinct 3001,Approve
1703,Precinct 3001,Precinct 3001,Approve
1704,Precinct 3001,Precinct 3001,Approve
1705,Precinct 3001,Precinct 3001,Approve
1706,Precinct 3001,Precinct 3001,Approve
1707,Precinct 3001,Precinct 3001,Reject
1708,Precinct 3001,Precinct 3001,Reject
1709,Precinct 3001,Precinct 3001,Reject
1710,Precinct 3001,Precinct 3001,Approve
1711,Precinct 3001,Precinct 3001,Approve
1712,Precinct 3001,Precinct 3001,Approve
1713,Precinct 3001,Precinct 3001,Reject
1714,Precinct 3001,Precinct 3001,Reject
1715,Precinct 3001,Precinct 3001,Reject
1716,Precinct 3001,Precinct 3001,Reject
1717,Precinct 3001,Precinct 3001,Approve
1718,Precinct 3001,Precinct 3001,Approve
1719,Precinct 3001,Precinct 3001,Approve
1720,Precinct 3001,Precinct 3001,Reject
1721,Precinct 3001,Precinct 3001,Approve
1722,Precinct 3001,Precinct 3001,Approve
1723,Precinct 3001,Precinct 3001,Reject
1724,Precinct 3001,Precinct 3001,Reject
1725,Precinct 3001,Precinct 3001,Approve
1726,Precinct 3001,Precinct 3001,Approve
1727,Precinct 3001,Precinct 3001,Reject
1728,Precinct 3001,Precinct 3001,Approve
1729,Precinct 3001,Precinct 3001,Reject
1730,Precinct 3001,Precinct 3001,Reject
1731,Precinct 3001,Precinct 3001,Reject
1732,Precinct 3001,Precinct 3001,Approve
1733,Precinct 3001,Precinct 3001,Approve
1734,Precinct 3001,Precinct 3001,Reject
1735,Precinct 3001,Precinct 3001,Reject
1736,Precinct 3001,Precinct 3001,Approve
1737,Precinct 3001,Precinct 3001,Reject
1738,Precinct 3001,Precinct 3001,Reject
1739,Precinct 3001,Precinct 3001,Approve
1740,Precinct 3001,Precinct 3001,Reject
1741,Precinct 3001,Precinct 3001,Reject
1742,Precinct 3001,Precinct 3001,Reject
1743,Precinct 3001,Precinct 3001,Reject
1744,Precinct 3001,Precinct 3001,Approve
1745,Precinct 3001,Precinct 3001,Approve
1746,Precinct 3001,Precinct 3001,Reject
1747,Precinct 3001,Precinct 3001,Reject
1748,Precinct 3001,Precinct 3001,Approve
1749,Precinct 3001,Precinct 3001,Approve
1750,Precinct 3001,Precinct 3001,Approve
1751,Precinct 3001,Precinct 3001,Reject
1752,Precinct 3001,Precinct 3001,Approve
1753,Precinct 3001,Precinct 3001,Reject
1754,Precinct 3001,Precinct 3001,Reject
1755,Precinct 3001,Precinct 3001,Approve
1756,Precinct 3001,Precinct 3001,Approve
1757,Precinct 3001,Precinct 3001,Approve
1758,Precinct 3001,Precinct 3001,Approve
1759,Precinct 3001,Precinct 3001,Approve
1760,Precinct 3001,Precinct 3001,Reject
1761,Precinct 3001,Precinct 3001,Reject
1762,Precinct 3001,Precinct 3001,Reject
1763,Precinct 3001,Precinct 3001,Reject
1764,Precinct 3001,Precinct 3001,Reject
1765,Precinct 3001,Precinct 3001,Reject
1766,Precinct 3001,Precinct 3001,Reject
1767,Precinct 3001,Precinct 3001,Reject
1768,Precinct 3001,Precinct 3001,Approve
1769,Precinct 3001,Precinct 3001,Reject
1770,Precinct 3001,Precinct 3001,Reject
1771,Precinct 3001,Precinct 3001,Approve
1772,Precinct 3001,Precinct 3001,Reject
1773,Precinct 3001,Precinct 3001,Reject
1774,Precinct 3001,Precinct 3001,Reject
1775,Precinct 3001,Precinct 3001,Reject
1776,Precinct 3001,Precinct 3001,Reject
1777,Precinct 3001,Precinct 3001,Approve
1778,Precinct 3001,Precinct 3001,Reject
1779,Precinct 3001,Precinct 3001,Approve
1780,Precinct 3001,Precinct 3001,Approve
1781,Precinct 3001,Precinct 3001,Reject
1782,Precinct 3001,Precinct 3001,Approve
1783,Precinct 3001,Precinct 3001,Approve
1784,Precinct 3001,Precinct 3001,Reject
1785,Precinct 3001,Precinct 3001,Reject
1786,Precinct 3001,Precinct 3001,Reject
1787,Precinct 3001,Precinct 3001,Approve
1788,Precinct 3001,Precinct 3001,Approve
1789,Precinct 3001,Precinct 3001,Approve
1790,Precinct 3001,Precinct 3001,Approve
1791,Precinct 3001,Precinct 3001,Reject
1792,Precinct 3001,Precinct 3001,Reject
1793,Precinct 3001,Precinct 3001,Reject
1794,Precinct 3001,Precinct 3001,Reject
1795,Precinct 3001,Precinct 3001,Approve
1796,Precinct 3001,Precinct 3001,Approve
1797,Precinct 3001,Precinct 3001,Reject
1798,Precinct 3001,Precinct 3001,Reject
1799,Precinct 3001,Precinct 3001,Approve
1800,Precinct 3001,Precinct 3001,Reject
1801,Precinct 3001,Precinct 3001,Reject
1802,Precinct 3001,Precinct 3001,Approve
1803,Precinct 3001,Precinct 3001,Reject
1804,Precinct 3001,Precinct 3001,Approve
1805,Precinct 3001,Precinct 3001,Reject
1806,Precinct 3001,Precinct 3001,Approve
1807,Precinct 3001,Precinct 3001,Reject
1808,Precinct 3001,Precinct 3001,Approve
1809,Precinct 3001,Precinct 3001,Approve
1810,Precinct 3001,Precinct 3001,Reject
1811,Precinct 3001,Precinct 3001,Reject
1812,Precinct 3001,Precinct 3001,Reject
1813,Precinct 3001,Precinct 3001,Approve
1814,Precinct 3001,Precinct 3001,Reject
1815,Precinct 3001,Precinct 3001,Reject
1816,Precinct 3001,Precinct 3001,Approve
1817,Precinct 3001,Precinct 3001,Reject
1818,Precinct 3001,Precinct 3001,Reject
1819,Precinct 3001,Precinct 3001,Approve
1820,Precinct 3001,Precinct 3001,Approve
1821,Precinct 3001,Precinct 3001,Approve
1822,Precinct 3001,Precinct 3001,Reject
1823,Precinct 3001,Precinct 3001,Reject
1824,Precinct 3001,Precinct 3001,Approve
1825,Precinct 3001,Precinct 3001,Reject
1826,Precinct 3001,Precinct 3001,Approve
1827,Precinct 3001,Precinct 3001,Reject
1828,Precinct 3001,Precinct 3001,Reject
1829,Precinct 3001,Precinct 3001,Reject
1830,Precinct 3001,Precinct 3001,Reject
1831,Precinct 3001,Precinct 3001,Approve
1832,Precinct 3001,Precinct 3001,Reject
1833,Precinct 3001,Precinct 3001,Reject
1834,Precinct 3001,Precinct 3001,Approve
1835,Precinct 3001,Precinct 3001,Reject
1836,Precinct 3001,Precinct 3001,Reject
1837,Precinct 3001,Precinct 3001,Reject
1838,Precinct 3001,Precinct 3001,Reject
1839,Precinct 3001,Precinct 3001,Approve
1840,Precinct 3001,Precinct 3001,Reject
1841,Precinct 3001,Precinct 3001,Approve
1842,Precinct 3001,Precinct 3001,Approve
1843,Precinct 3001,Precinct 3001,Reject
1844,Precinct 3001,Precinct 3001,Reject
1845,Precinct 3001,Precinct 3001,Approve
1846,Precinct 3001,Precinct 3001,Reject
1847,Precinct 3001,Precinct 3001,Reject
1848,Precinct 3001,Precinct 3001,Reject
1849,Precinct 3001,Precinct 3001,Approve
1850,Precinct 3001,Precinct 3001,Approve
1851,Precinct 3001,Precinct 3001,Approve
1852,Precinct 3001,Precinct 3001,Reject
1853,Precinct 3001,Precinct 3001,Approve
1854,Precinct 3001,Precinct 3001,Approve
1855,Precinct 3001,Precinct 3001,Reject
1856,Precinct 3001,Precinct 3001,Approve
1857,Precinct 3001,Precinct 3001,Reject
1858,Precinct 3001,Precinct 3001,Approve
1859,Precinct 3001,Precinct 3001,Reject
1860,Precinct 3001,Precinct 3001,Reject
1861,Precinct 3001,Precinct 3001,Reject
1862,Precinct 3001,Precinct 3001,Approve
1863,Precinct 3001,Precinct 3001,Approve
1864,Precinct 3001,Precinct 3001,Reject
1865,Precinct 3001,Precinct 3001,Reject
1866,Precinct 3001,Precinct 3001,Reject
1867,Precinct 3001,Precinct 3001,Reject
1868,Precinct 3001,Precinct 3001,Approve
1869,Precinct 3001,Precinct 3001,Approve
1870,Precinct 3001,Precinct 3001,Reject
1871,Precinct 3001,Precinct 3001,Reject
1872,Precinct 3001,Precinct 3001,Approve
1873,Precinct 3001,Precinct 3001,Reject
1874,Precinct 3001,Precinct 3001,Approve
1875,Precinct 3001,Precinct 3001,Approve
1876,Precinct 3001,Precinct 3001,Reject
1877,Precinct 3001,Precinct 3001,Approve
1878,Precinct 3001,Precinct 3001,Approve
1879,Precinct 3001,Precinct 3001,Reject
1880,Precinct 3001,Precinct 3001,Approve
1881,Precinct 3001,Precinct 3001,Reject
1882,Precinct 3001,Precinct 3001,Reject
1883,Precinct 3001,Precinct 3001,Approve
1884,Precinct 3001,Precinct 3001,Reject
1885,Precinct 3001,Precinct 3001,Reject
1886,Precinct 3001,Precinct 3001,Approve
1887,Precinct 3001,Precinct 3001,Reject
1888,Precinct 3001,Precinct 3001,Approve
1889,Precinct 3001,Precinct 3001,Reject
1890,Precinct 3001,Precinct 3001,Reject
1891,Precinct 3001,Precinct 3001,Reject
1892,Precinct 3001,Precinct 3001,Reject
1893,Precinct 3001,Precinct 3001,Approve
1894,Precinct 3001,Precinct 3001,Approve
1895,Precinct 3001,Precinct 3001,Reject
1896,Precinct 3001,Precinct 3001,Reject
1897,Precinct 3001,Precinct 3001,Reject
1898,Precinct 3001,Precinct 3001,Approve
1899,Precinct 3001,Precinct 3001,Approve
1900,Precinct 3001,Precinct 3001,Approve
1901,Precinct 3001,Precinct 3001,Approve
1902,Precinct 3001,Precinct 3001,Approve
1903,Precinct 3001,Precinct 3001,Approve
1904,Precinct 3001,Precinct 3001,Reject
1905,Precinct 3001,Precinct 3001,Approve
1906,Precinct 3001,Precinct 3001,Reject
1907,Precinct 3001,Precinct 3001,Reject
1908,Precinct 3001,Precinct 3001,Reject
1909,Precinct 3001,Precinct 3001,Approve
1910,Precinct 3001,Precinct 3001,Approve
1911,Precinct 3001,Precinct 3001,Approve
1912,Precinct 3001,Precinct 3001,Reject
1913,Precinct 3001,Precinct 3001,Reject
1914,Precinct 3001,Precinct 3001,Reject
1915,Precinct 3001,Precinct 3001,Reject
1916,Precinct 3001,Precinct 3001,Approve
1917,Precinct 3001,Precinct 3001,Reject
1918,Precinct 3001,Precinct 3001,Reject
1919,Precinct 3001,Precinct 3001,Reject
1920,Precinct 3001,Precinct 3001,Approve
1921,Precinct 3001,Precinct 3001,Reject
1922,Precinct 3001,Precinct 3001,Reject
1923,Precinct 3001,Precinct 3001,Reject
1924,Precinct 3001,Precinct 3001,Reject
1925,Precinct 3001,Precinct 3001,Reject
1926,Precinct 3001,Precinct 3001,Reject
1927,Precinct 3001,Precinct 3001,Reject
1928,Precinct 3001,Precinct 3001,Reject
1929,Precinct 3001,Precinct 3001,Reject
1930,Precinct 3001,Precinct 3001,Reject
1931,Precinct 3001,Precinct 3001,Reject
1932,Precinct 3001,Precinct 3001,Reject
1933,Precinct 3001,Precinct 3001,Reject
1934,Precinct 3001,Precinct 3001,Reject
1935,Precinct 3001,Precinct 3001,Approve
1936,Precinct 3001,Precinct 3001,Reject
1937,Precinct 3001,Precinct 3001,Approve
1938,Precinct 3001,Precinct 3001,Reject
1939,Precinct 3001,Precinct 3001,Reject
1940,Precinct 3001,Precinct 3001,Approve
1941,Precinct 3001,Precinct 3001,Approve
1942,Precinct 3001,Precinct 3001,Reject
1943,Precinct 3001,Precinct 3001,Reject
1944,Precinct 3001,Precinct 3001,Reject
1945,Precinct 3001,Precinct 3001,Approve
1946,Precinct 3001,Precinct 3001,Approve
1947,Precinct 3001,Precinct 3001,Approve
1948,Precinct 3001,Precinct 3001,Reject
1949,Precinct 3001,Precinct 3001,Reject
1950,Precinct 3001,Precinct 3001,Approve
1951,Precinct 3001,Precinct 3001,Reject
1952,Precinct 3001,Precinct 3001,Reject
1953,Precinct 3001,Precinct 3001,Reject
1954,Precinct 3001,Precinct 3001,Approve
1955,Precinct 3001,Precinct 3001,Reject
1956,Precinct 3001,Precinct 3001,Approve
1957,Precinct 3001,Precinct 3001,Reject
1958,Precinct 3001,Precinct 3001,Reject
1959,Precinct 3001,Precinct 3001,Reject
1960,Precinct 3001,Precinct 3001,Approve
1961,Precinct 3001,Precinct 3001,Reject
1962,Precinct 3001,Precinct 3001,Approve
1963,Precinct 3001,Precinct 3001,Reject
1964,Precinct 3001,Precinct 3001,Approve
1965,Precinct 3001,Precinct 3001,Approve
1966,Precinct 3001,Precinct 3001,Reject
1967,Precinct 3001,Precinct 3001,Reject
1968,Precinct 3001,Precinct 3001,Approve
1969,Precinct 3001,Precinct 3001,Reject
1970,Precinct 3001,Precinct 3001,Reject
1971,Precinct 3001,Precinct 3001,Reject
1972,Precinct 3001,Precinct 3001,Reject
1973,Precinct 3001,Precinct 3001,Reject
1974,Precinct 3001,Precinct 3001,Approve
1975,Precinct 3001,Precinct 3001,Reject
1976,Precinct 3001,Precinct 3001,Reject
1977,Precinct 3001,Precinct 3001,Reject
1978,Precinct 3001,Precinct 3001,Approve
1979,Precinct 3001,Precinct 3001,Approve
1980,Precinct 3001,Precinct 3001,Approve
1981,Precinct 3001,Precinct 3001,Approve
1982,Precinct 3001,Precinct 3001,Reject
1983,Precinct 3001,Precinct 3001,Approve
1984,Precinct 3001,Precinct 3001,Approve
1985,Precinct 3001,Precinct 3001,Reject
1986,Precinct 3001,Precinct 3001,Reject
1987,Precinct 3001,Precinct 3001,Reject
1988,Precinct 3001,Precinct 3001,Reject
1989,Precinct 3001,Precinct 3001,Approve
1990,Precinct 3001,Precinct 3001,Reject
1991,Precinct 3001,Precinct 3001,Approve
1992,Precinct 3001,Precinct 3001,Approve
1993,Precinct 3001,Precinct 3001,Approve
1994,Precinct 3001,Precinct 3001,Approve
1995,Precinct 3001,Precinct 3001,Reject
1996,Precinct 3001,Precinct 3001,Reject
1997,Precinct 3001,Precinct 3001,Reject
1998,Precinct 3001,Precinct 3001,Approve
1999,Precinct 3001,Precinct 3001,Reject
2000,Precinct 3001,Precinct 3001,Approve
2001,Precinct 3001,Precinct 3001,Reject
2002,Precinct 3001,Precinct 3001,Reject
2003,Precinct 3001,Precinct 3001,Reject
2004,Precinct 3001,Precinct 3001,Reject
2005,Precinct 3001,Precinct 3001,Approve
2006,Precinct 3001,Precinct 3001,Reject
2007,Precinct 3001,Precinct 3001,Reject
2008,Precinct 3001,Precinct 3001,Approve
2009,Precinct 3001,Precinct 3001,Reject
2010,Precinct 3001,Precinct 3001,Reject
2011,Precinct 3001,Precinct 3001,Approve
2012,Precinct 3001,Precinct 3001,Approve
2013,Precinct 3001,Precinct 3001,Reject
2014,Precinct 3001,Precinct 3001,Approve
2015,Precinct 3001,Precinct 3001,Reject
2016,Precinct 3001,Precinct 3001,Reject
2017,Precinct 3001,Precinct 3001,Approve
2018,Precinct 3001,Precinct 3001,Approve
2019,Precinct 3001,Precinct 3001,Reject
2020,Precinct 3001,Precinct 3001,Approve
2021,Precinct 3001,Precinct 3001,Approve
2022,Precinct 3001,Precinct 3001,Approve
2023,Precinct 3001,Precinct 3001,Approve
2024,Precinct 3001,Precinct 3001,Reject
2025,Precinct 3001,Precinct 3001,Approve
2026,Precinct 3001,Precinct 3001,Reject
2027,Precinct 3001,Precinct 3001,Approve
2028,Precinct 3001,Precinct 3001,Approve
2029,Precinct 3001,Precinct 3001,Approve
2030,Precinct 3001,Precinct 3001,Approve
2031,Precinct 3001,Precinct 3001,Reject
2032,Precinct 3001,Precinct 3001,Reject
2033,Precinct 3001,Precinct 3001,Approve
2034,Precinct 3001,Precinct 3001,Reject
2035,Precinct 3001,Precinct 3001,Reject
2036,Precinct 3001,Precinct 3001,Reject
2037,Precinct 3001,Precinct 3001,Reject
2038,Precinct 3001,Precinct 3001,Approve
2039,Precinct 3001,Precinct 3001,Reject
2040,Precinct 3001,Precinct 3001,Approve
2041,Precinct 3001,Precinct 3001,Approve
2042,Precinct 3001,Precinct 3001,Approve
2043,Precinct 3001,Precinct 3001,Approve
2044,Precinct 3001,Precinct 3001,Reject
2045,Precinct 3001,Precinct 3001,Approve
2046,Precinct 3001,Precinct 3001,Approve
2047,Precinct 3001,Precinct 3001,Approve
2048,Precinct 3001,Precinct 3001,Reject
2049,Precinct 3001,Precinct 3001,Approve
2050,Precinct 3001,Precinct 3001,Approve
2051,Precinct 3001,Precinct 3001,Approve
2052,Precinct 3001,Precinct 3001,Reject
2053,Precinct 3001,Precinct 3001,Approve
2054,Precinct 3001,Precinct 3001,Reject
2055,Precinct 3001,Precinct 3001,Approve
2056,Precinct 3001,Precinct 3001,Reject
2057,Precinct 3001,Precinct 3001,Reject
2058,Precinct 3001,Precinct 3001,Reject
2059,Precinct 3001,Precinct 3001,Approve
2060,Precinct 3001,Precinct 3001,Reject
2061,Precinct 3001,Precinct 3001,Reject
2062,Precinct 3001,Precinct 3001,Approve
2063,Precinct 3001,Precinct 3001,Reject
2064,Precinct 3001,Precinct 3001,Reject
2065,Precinct 3001,Precinct 3001,Approve
2066,Precinct 3001,Precinct 3001,Approve
2067,Precinct 3001,Precinct 3001,Reject
2068,Precinct 3001,Precinct 3001,Approve
2069,Precinct 3001,Precinct 3001,Approve
2070,Precinct 3001,Precinct 3001,Reject
2071,Precinct 3001,Precinct 3001,Approve
2072,Precinct 3001,Precinct 3001,Approve
2073,Precinct 3001,Precinct 3001,Approve
2074,Precinct 3001,Precinct 3001,Reject
2075,Precinct 3001,Precinct 3001,Reject
2076,Precinct 3001,Precinct 3001,Approve
2077,Precinct 3001,Precinct 3001,Reject
2078,Precinct 3001,Precinct 3001,Approve
2079,Precinct 3001,Precinct 3001,Approve
2080,Precinct 3001,Precinct 3001,Approve
2081,Precinct 3001,Precinct 3001,Approve
2082,Precinct 3001,Precinct 3001,Reject
2083,Precinct 3001,Precinct 3001,Approve
2084,Precinct 3001,Precinct 3001,Approve
2085,Precinct 3001,Precinct 3001,Reject
2086,Precinct 3001,Precinct 3001,Reject
2087,Precinct 3001,Precinct 3001,Approve
2088,Precinct 3001,Precinct 3001,Approve
2089,Precinct 3001,Precinct 3001,Reject
2090,Precinct 3001,Precinct 3001,Reject
2091,Precinct 3001,Precinct 3001,Approve
2092,Precinct 3001,Precinct 3001,Reject
2093,Precinct 3001,Precinct 3001,Approve
2094,Precinct 3001,Precinct 3001,Approve
2095,Precinct 3001,Precinct 3001,Reject
2096,Precinct 3001,Precinct 3001,Reject
2097,Precinct 3001,Precinct 3001,Approve
2098,Precinct 3001,Precinct 3001,Approve
2099,Precinct 3001,Precinct 3001,Reject
2100,Precinct 3001,Precinct 3001,Approve
2101,Precinct 3001,Precinct 3001,Approve
2102,Precinct 3001,Precinct 3001,Reject
2103,Precinct 3001,Precinct 3001,Reject
2104,Precinct 3001,Precinct 3001,Approve
2105,Precinct 3001,Precinct 3001,Approve
2106,Precinct 3001,Precinct 3001,Reject
2107,Precinct 3001,Precinct 3001,Reject
2108,Precinct 3001,Precinct 3001,Reject
2109,Precinct 3001,Precinct 3001,Approve
2110,Precinct 3001,Precinct 3001,Approve
2111,Precinct 3001,Precinct 3001,Reject
2112,Precinct 3001,Precinct 3001,Approve
2113,Precinct 3001,Precinct 3001,Reject
2114,Precinct 3001,Precinct 3001,Reject
2115,Precinct 3001,Precinct 3001,Reject
2116,Precinct 3001,Precinct 3001,Approve
2117,Precinct 3001,Precinct 3001,Reject
2118,Precinct 3001,Precinct 3001,Reject
2119,Precinct 3001,Precinct 3001,Reject
2120,Precinct 3001,Precinct 3001,Reject
2121,Precinct 3001,Precinct 3001,Approve
2122,Precinct 3001,Precinct 3001,Approve
2123,Precinct 3001,Precinct 3001,Approve
2124,Precinct 3001,Precinct 3001,Reject
2125,Precinct 3001,Precinct 3001,Approve
2126,Precinct 3001,Precinct 3001,Approve
2127,Precinct 3001,Precinct 3001,Reject
2128,Precinct 3001,Precinct 3001,Approve
2129,Precinct 3001,Precinct 3001,Approve
2130,Precinct 3001,Precinct 3001,Reject
2131,Precinct 3001,Precinct 3001,Reject
2132,Precinct 3001,Precinct 3001,Approve
2133,Precinct 3001,Precinct 3001,Reject
2134,Precinct 3001,Precinct 3001,Reject
2135,Precinct 3001,Precinct 3001,Reject
2136,Precinct 3001,Precinct 3001,Approve
2137,Precinct 3001,Precinct 3001,Approve
2138,Precinct 3001,Precinct 3001,Reject
2139,Precinct 3001,Precinct 3001,Reject
2140,Precinct 3001,Precinct 3001,Approve
2141,Precinct 3001,Precinct 3001,Reject
2142,Precinct 3001,Precinct 3001,Reject
2143,Precinct 3001,Precinct 3001,Approve
2144,Precinct 3001,Precinct 3001,Approve
2145,Precinct 3001,Precinct 3001,Reject
2146,Precinct 3001,Precinct 3001,Approve
2147,Precinct 3001,Precinct 3001,Reject
2148,Precinct 3001,Precinct 3001,Approve
2149,Precinct 3001,Precinct 3001,Reject
2150,Precinct 3001,Precinct 3001,Approve
2151,Precinct 3001,Precinct 3001,Reject
2152,Precinct 3001,Precinct 3001,Approve
2153,Precinct 3001,Precinct 3001,Reject
2154,Precinct 3001,Precinct 3001,Reject
2155,Precinct 3001,Precinct 3001,Reject
2156,Precinct 3001,Precinct 3001,Approve
2157,Precinct 3001,Precinct 3001,Reject
2158,Precinct 3001,Precinct 3001,Reject
2159,Precinct 3001,Precinct 3001,Approve
2160,Precinct 3001,Precinct 3001,Reject
2161,Precinct 3001,Precinct 3001,Reject
2162,Precinct 3001,Precinct 3001,Approve
2163,Precinct 3001,Precinct 3001,Reject
2164,Precinct 3001,Precinct 3001,Approve
2165,Precinct 3001,Precinct 3001,Approve
2166,Precinct 3001,Precinct 3001,Approve
2167,Precinct 3001,Precinct 3001,Approve
2168,Precinct 3001,Precinct 3001,Approve
2169,Precinct 3001,Precinct 3001,Approve
2170,Precinct 3001,Precinct 3001,Approve
2171,Precinct 3001,Precinct 3001,Reject
2172,Precinct 3001,Precinct 3001,Reject
2173,Precinct 3001,Precinct 3001,Reject
2174,Precinct 3001,Precinct 3001,Approve
2175,Precinct 3001,Precinct 3001,Approve
2176,Precinct 3001,Precinct 3001,Reject
2177,Precinct 3001,Precinct 3001,Reject
2178,Precinct 3001,Precinct 3001,Approve
2179,Precinct 3001,Precinct 3001,Approve
2180,Precinct 3001,Precinct 3001,Approve
2181,Precinct 3001,Precinct 3001,Reject
2182,Precinct 3001,Precinct 3001,Reject
2183,Precinct 3001,Precinct 3001,Approve
2184,Precinct 3001,Precinct 3001,Approve
2185,Precinct 3001,Precinct 3001,Approve
2186,Precinct 3001,Precinct 3001,Approve
2187,Precinct 3001,Precinct 3001,Approve
